Area,Count,Event Type,Population,Race,Sex,Year
Alabama,4366,Mortality,2293259,All Races,Female,1999
Alabama,9452,Incidence,2302835,All Races,Female,2000
Alabama,4425,Mortality,2302835,All Races,Female,2000
Alabama,9938,Incidence,2309496,All Races,Female,2001
Alabama,4550,Mortality,2309496,All Races,Female,2001
Alabama,10133,Incidence,2314370,All Races,Female,2002
Alabama,4407,Mortality,2314370,All Races,Female,2002
Alabama,9592,Incidence,2324069,All Races,Female,2003
Alabama,4472,Mortality,2324069,All Races,Female,2003
Alabama,10221,Incidence,2337857,All Races,Female,2004
Alabama,4498,Mortality,2337857,All Races,Female,2004
Alabama,10489,Incidence,2354514,All Races,Female,2005
Alabama,4599,Mortality,2354514,All Races,Female,2005
Alabama,10545,Incidence,2385480,All Races,Female,2006
Alabama,4490,Mortality,2385480,All Races,Female,2006
Alabama,10957,Incidence,2407275,All Races,Female,2007
Alabama,4492,Mortality,2407275,All Races,Female,2007
Alabama,57019,Incidence,12222298,All Races,Female,2009
Alabama,22892,Mortality,12134084,All Races,Female,2009
Alabama,11583,Incidence,2430257,All Races,Female,2008
Alabama,4618,Mortality,2430257,All Races,Female,2008
Alabama,11530,Incidence,2448159,All Races,Female,2009
Alabama,4668,Mortality,2448159,All Races,Female,2009
Alabama,11549,Incidence,2462708,All Races,Female,2010
Alabama,4624,Mortality,2462913,All Races,Female,2010
Alabama,11400,Incidence,2473899,All Races,Female,2011
Alabama,4624,Mortality,2462913,All Races,Female,2011
Alabama,5140,Mortality,2136882,All Races,Male,1999
Alabama,10371,Incidence,2149338,All Races,Male,2000
Alabama,5382,Mortality,2149338,All Races,Male,2000
Alabama,11112,Incidence,2158138,All Races,Male,2001
Alabama,5251,Mortality,2158138,All Races,Male,2001
Alabama,11250,Incidence,2165719,All Races,Male,2002
Alabama,5291,Mortality,2165719,All Races,Male,2002
Alabama,11196,Incidence,2179422,All Races,Male,2003
Alabama,5340,Mortality,2179422,All Races,Male,2003
Alabama,12000,Incidence,2192872,All Races,Male,2004
Alabama,5258,Mortality,2192872,All Races,Male,2004
Alabama,12154,Incidence,2211403,All Races,Male,2005
Alabama,5314,Mortality,2211403,All Races,Male,2005
Alabama,12765,Incidence,2243501,All Races,Male,2006
Alabama,5409,Mortality,2243501,All Races,Male,2006
Alabama,13199,Incidence,2265565,All Races,Male,2007
Alabama,5533,Mortality,2265565,All Races,Male,2007
Alabama,67396,Incidence,11515137,All Races,Male,2009
Alabama,27699,Mortality,11429282,All Races,Male,2009
Alabama,13671,Incidence,2287949,All Races,Male,2008
Alabama,5564,Mortality,2287949,All Races,Male,2008
Alabama,13659,Incidence,2309779,All Races,Male,2009
Alabama,5621,Mortality,2309779,All Races,Male,2009
Alabama,13499,Incidence,2322054,All Races,Male,2010
Alabama,5572,Mortality,2322488,All Races,Male,2010
Alabama,13368,Incidence,2329790,All Races,Male,2011
Alabama,5572,Mortality,2322488,All Races,Male,2011
Alabama,9506,Mortality,4430141,All Races,Male and Female,1999
Alabama,19823,Incidence,4452173,All Races,Male and Female,2000
Alabama,9807,Mortality,4452173,All Races,Male and Female,2000
Alabama,21050,Incidence,4467634,All Races,Male and Female,2001
Alabama,9801,Mortality,4467634,All Races,Male and Female,2001
Alabama,21383,Incidence,4480089,All Races,Male and Female,2002
Alabama,9698,Mortality,4480089,All Races,Male and Female,2002
Alabama,20788,Incidence,4503491,All Races,Male and Female,2003
Alabama,9812,Mortality,4503491,All Races,Male and Female,2003
Alabama,22221,Incidence,4530729,All Races,Male and Female,2004
Alabama,9756,Mortality,4530729,All Races,Male and Female,2004
Alabama,22643,Incidence,4565917,All Races,Male and Female,2005
